<b>사람</b>이 누구예요?|Who is that person?<br>----<br><b>사람</b> (saram) = person<br>• Generic word for "person"<br>• Can be modified: 한국 사람 (Korean person)<br><br>More examples:<br>• 좋은 사람 (good person)<br>• 저 사람 (that person over there)|week1 day2 noun high-frequency
<b>학생</b>이에요.|I am a student.<br>----<br><b>학생</b> (haksaeng) = student<br>• Very common word<br>• 대학생 = university student<br><br>More examples:<br>• 학생이 많아요. (There are many students.)<br>• 저는 학생이에요. (I am a student.)|week1 day2 noun high-frequency
<b>선생님</b>이에요.|He/She is a teacher.<br>----<br><b>선생님</b> (seonsaengnim) = teacher<br>• Respectful term<br>• 님 is an honorific suffix<br><br>More examples:<br>• 선생님은 어디에 계세요? (Where is the teacher?)<br>• 한국어 선생님 (Korean language teacher)|week1 day2 noun high-frequency
제 <b>친구</b>는 학생이에요.|My friend is a student.<br>----<br><b>친구</b> (chingu) = friend<br>• Close friend<br>• 남자친구/여자친구 = boyfriend/girlfriend<br><br>More examples:<br>• 친구가 많아요. (I have many friends.)<br>• 제 친구 (my friend)|week1 day2 noun high-frequency
제 <b>이름</b>은 대원이에요.|My name is Daewon.<br>----<br><b>이름</b> (ireum) = name<br>• Noun<br><br>More examples:<br>• 이름이 뭐예요? (What's your name?)<br>• 당신의 이름은? (Your name?)|week1 day2 noun high-frequency
한국은 좋은 <b>나라</b>예요.|Korea is a good country.<br>----<br><b>나라</b> (nara) = country/nation<br>• Can refer to nation or state<br><br>More examples:<br>• 어느 나라 사람이에요? (What country are you from?)<br>• 우리 나라 (our country)|week1 day2 noun
<b>한국</b>은 아시아에 있어요.|Korea is in Asia.<br>----<br><b>한국</b> (hanguk) = Korea / South Korea<br>• 대한민국 = Republic of Korea (formal)<br>• 한국어 = Korean language<br><br>More examples:<br>• 한국이 좋아요. (I like Korea.)<br>• 한국 사람 (Korean person)|week1 day2 noun country high-frequency
저는 <b>미국</b> 사람이에요.|I am American.<br>----<br><b>미국</b> (miguk) = America / United States<br>• Short for 아메리카<br>• 미국인 = American person<br><br>More examples:<br>• 미국은 크다. (America is big.)<br>• 미국 음식 (American food)|week1 day2 noun country
<b>프랑스</b>는 유럽에 있어요.|France is in Europe.<br>----<br><b>프랑스</b> (peurangseu) = France<br>• European country<br>• 프랑스어 = French language<br><br>More examples:<br>• 프랑스가 어디예요? (Where is France?)<br>• 프랑스 사람 (French person)|week1 day2 noun country
<b>일본</b>은 한국 옆에 있어요.|Japan is next to Korea.<br>----<br><b>일본</b> (ilbon) = Japan<br>• Neighboring country to Korea<br>• 일본어 = Japanese language<br><br>More examples:<br>• 일본 음식 (Japanese food)<br>• 일본 사람 (Japanese person)|week1 day2 noun country
날씨<b>가</b> 좋아요.|The weather is good.<br>----<br><b>좋다</b> (jota) = to be good<br>• Descriptive verb (adjective)<br>• Can describe things, people, situations<br><br>More examples:<br>• 날씨가 좋아요. (The weather is good.)<br>• 사람이 좋아요. (The person is nice.)|week1 day2 adjective high-frequency
날씨<b>가</b> 나빠요.|The weather is bad.<br>----<br><b>나쁘다</b> (nappeuda) = to be bad<br>• Opposite of 좋다<br>• Used for things, behavior, situations<br><br>More examples:<br>• 사람이 나빠요. (The person is bad.)<br>• 날씨가 나빠요. (The weather is bad.)|week1 day2 adjective high-frequency
집<b>이</b> 커요.|The house is big.<br>----<br><b>크다</b> (keuda) = to be big<br>• Descriptive verb<br>• Size descriptor<br><br>More examples:<br>• 크다 → 커요 (polite)<br>• 집이 아주 커요. (The house is very big.)|week1 day2 adjective high-frequency
방<b>이</b> 작아요.|The room is small.<br>----<br><b>작다</b> (jakda) = to be small<br>• Opposite of 크다<br>• Size descriptor<br><br>More examples:<br>• 작다 → 작아요 (polite)<br>• 방이 너무 작아요. (The room is too small.)|week1 day2 adjective high-frequency
사람<b>이</b> 많아요.|There are many people.<br>----<br><b>많다</b> (manta) = to be many/much<br>• Quantity descriptor<br>• Used for countable and uncountable<br><br>More examples:<br>• 친구가 많아요. (I have many friends.)<br>• 시간이 많아요. (There's a lot of time.)|week1 day2 adjective high-frequency
시간<b>이</b> 적어요.|There's little time.<br>----<br><b>적다</b> (jeokda) = to be few/little<br>• Opposite of 많다<br>• Quantity descriptor<br><br>More examples:<br>• 사람이 적어요. (There are few people.)<br>• 돈이 적어요. (There's little money.)|week1 day2 adjective
책<b>이</b> 새로워요.|The book is new.<br>----<br><b>새롭다</b> (saeropda) = to be new<br>• Fresh, recent, modern<br>• 새 = new (modifier form)<br><br>More examples:<br>• 새로운 친구 (new friend)<br>• 책이 새로워요. (The book is new.)|week1 day2 adjective
컴퓨터<b>가</b> 오래됐어요.|The computer is old.<br>----<br><b>오래되다</b> (oraedoeda) = to be old (for things)<br>• NOT used for people (use 나이가 많다)<br>• Indicates age of objects<br><br>More examples:<br>• 집이 오래됐어요. (The house is old.)<br>• 책이 오래됐어요. (The book is old.)|week1 day2 adjective
<b>누구</b>가 학생이에요?|Who is a student?<br>----<br><b>누구</b> (nugu) = who<br>• Question word<br>• Use with 이/가 in questions<br><br>More examples:<br>• 누구예요? (Who is it?)<br>• 저 사람이 누구예요? (Who is that person?)|week1 day2 question high-frequency
이것<b>이</b> <b>뭐</b>예요?|What is this?<br>----<br><b>뭐</b> (mwo) = what (casual)<br>• Short for 무엇<br>• Very common in questions<br><br>More examples:<br>• 뭐예요? (What is it?)<br>• 뭐 해요? (What are you doing?)|week1 day2 question high-frequency
학교<b>가</b> <b>어디</b>예요?|Where is the school?<br>----<br><b>어디</b> (eodi) = where<br>• Location question word<br>• Use with 이/가<br><br>More examples:<br>• 어디예요? (Where is it?)<br>• 집이 어디예요? (Where is your house?)|week1 day2 question high-frequency
<b>이것</b>은 책이에요.|This is a book.<br>----<br><b>이것</b> (igeot) = this thing / this<br>• Demonstrative pronoun<br>• Can be shortened to 이거 (casual)<br><br>More examples:<br>• 이것이 뭐예요? (What is this?)<br>• 이것은 제 것이에요. (This is mine.)|week1 day2 demonstrative high-frequency
<b>그것</b>은 뭐예요?|What is that?<br>----<br><b>그것</b> (geugeot) = that thing / that<br>• Demonstrative pronoun (near listener)<br>• Can be shortened to 그거 (casual)<br><br>More examples:<br>• 그것이 뭐예요? (What is that?)<br>• 그것은 책이에요. (That is a book.)|week1 day2 demonstrative high-frequency
<b>저것</b>이 뭐예요?|What is that (over there)?<br>----<br><b>저것</b> (jeogeot) = that thing over there<br>• Demonstrative pronoun (far from both)<br>• Can be shortened to 저거 (casual)<br><br>More examples:<br>• 저것은 학교예요. (That over there is a school.)<br>• 저것이 우리 집이에요. (That over there is our house.)|week1 day2 demonstrative
<b>여기</b>는 학교예요.|Here is a school. / This place is a school.<br>----<br><b>여기</b> (yeogi) = here / this place<br>• Location demonstrative<br>• Near speaker<br><br>More examples:<br>• 여기가 어디예요? (Where is this place?)<br>• 여기 앉으세요. (Sit here.)|week1 day2 location high-frequency
<b>거기</b>는 어디예요?|Where is that place?<br>----<br><b>거기</b> (geogi) = there / that place<br>• Location demonstrative<br>• Near listener<br><br>More examples:<br>• 거기 좋아요? (Is it nice there?)<br>• 거기가 학교예요. (That place is a school.)|week1 day2 location high-frequency
<b>저기</b>가 우리 집이에요.|That place over there is our house.<br>----<br><b>저기</b> (jeogi) = over there / that place far away<br>• Location demonstrative<br>• Far from both speaker and listener<br><br>More examples:<br>• 저기 보세요! (Look over there!)<br>• 저기가 어디예요? (Where is that place over there?)|week1 day2 location
좋은 <b>것</b>이에요.|It's a good thing.<br>----<br><b>것</b> (geot) = thing<br>• Generic "thing"<br>• Very versatile noun<br><br>More examples:<br>• 먹을 것 (thing to eat / food)<br>• 좋은 것 (good thing)|week1 day2 noun high-frequency
오늘 <b>날씨</b>가 좋아요.|Today's weather is good.<br>----<br><b>날씨</b> (nalssi) = weather<br>• Common topic of conversation<br>• Often used with 좋다/나쁘다<br><br>More examples:<br>• 날씨가 어때요? (How's the weather?)<br>• 날씨가 나빠요. (The weather is bad.)|week1 day2 noun high-frequency
우리 <b>집</b>이 작아요.|Our house is small.<br>----<br><b>집</b> (jip) = house / home<br>• Can mean building or household<br>• 우리 집 = our home<br><br>More examples:<br>• 집에 가요. (I'm going home.)<br>• 집이 커요. (The house is big.)|week1 day2 noun high-frequency
